timestamp_ms,timestamp_iso,angleID,angle_deg
1778145101686,2026-05-07T09:11:41.686Z,left_knee,0.28
1778145101762,2026-05-07T09:11:41.762Z,left_knee,0.14
1778145101866,2026-05-07T09:11:41.866Z,left_knee,6.29
1778145101971,2026-05-07T09:11:41.971Z,left_knee,12.03
1778145102076,2026-05-07T09:11:42.076Z,left_knee,13.05
1778145102181,2026-05-07T09:11:42.181Z,left_knee,14.81
1778145102256,2026-05-07T09:11:42.256Z,left_knee,14.53
1778145102376,2026-05-07T09:11:42.376Z,left_knee,16.47
1778145102466,2026-05-07T09:11:42.466Z,left_knee,16.5
1778145102571,2026-05-07T09:11:42.571Z,left_knee,23.92
1778145102692,2026-05-07T09:11:42.692Z,left_knee,25.91
1778145102781,2026-05-07T09:11:42.781Z,left_knee,20.9
1778145102856,2026-05-07T09:11:42.856Z,left_knee,21.14
1778145102976,2026-05-07T09:11:42.976Z,left_knee,19.59
1778145103051,2026-05-07T09:11:43.051Z,left_knee,19.24
1778145103186,2026-05-07T09:11:43.186Z,left_knee,18.45
1778145103276,2026-05-07T09:11:43.276Z,left_knee,17.56
1778145103381,2026-05-07T09:11:43.381Z,left_knee,16.0
1778145103502,2026-05-07T09:11:43.502Z,left_knee,15.49
1778145103651,2026-05-07T09:11:43.651Z,left_knee,14.39
1778145103681,2026-05-07T09:11:43.681Z,left_knee,15.1
1778145103787,2026-05-07T09:11:43.787Z,left_knee,19.9
1778145103861,2026-05-07T09:11:43.861Z,left_knee,23.95
1778145103981,2026-05-07T09:11:43.981Z,left_knee,31.56
1778145104086,2026-05-07T09:11:44.086Z,left_knee,30.41
1778145104191,2026-05-07T09:11:44.191Z,left_knee,24.88
1778145104266,2026-05-07T09:11:44.266Z,left_knee,19.57
1778145104387,2026-05-07T09:11:44.387Z,left_knee,12.68
1778145104506,2026-05-07T09:11:44.506Z,left_knee,13.49
1778145104581,2026-05-07T09:11:44.581Z,left_knee,16.02
1778145104686,2026-05-07T09:11:44.686Z,left_knee,21.19
1778145104792,2026-05-07T09:11:44.792Z,left_knee,28.92
1778145104897,2026-05-07T09:11:44.897Z,left_knee,27.11
1778145105001,2026-05-07T09:11:45.001Z,left_knee,34.03
1778145105076,2026-05-07T09:11:45.076Z,left_knee,37.64
1778145105241,2026-05-07T09:11:45.241Z,left_knee,43.58
1778145105301,2026-05-07T09:11:45.301Z,left_knee,41.52
1778145105392,2026-05-07T09:11:45.392Z,left_knee,35.08
1778145105496,2026-05-07T09:11:45.496Z,left_knee,28.1
1778145105601,2026-05-07T09:11:45.601Z,left_knee,23.71
1778145105676,2026-05-07T09:11:45.676Z,left_knee,19.51
1778145105811,2026-05-07T09:11:45.811Z,left_knee,16.6
1778145105871,2026-05-07T09:11:45.871Z,left_knee,10.02
1778145106007,2026-05-07T09:11:46.007Z,left_knee,9.89
1778145106096,2026-05-07T09:11:46.096Z,left_knee,11.6
1778145106201,2026-05-07T09:11:46.201Z,left_knee,12.67
1778145106306,2026-05-07T09:11:46.306Z,left_knee,15.04
1778145106412,2026-05-07T09:11:46.412Z,left_knee,16.46
1778145106486,2026-05-07T09:11:46.486Z,left_knee,17.5
1778145106606,2026-05-07T09:11:46.606Z,left_knee,19.92
1778145106682,2026-05-07T09:11:46.682Z,left_knee,20.89
1778145106801,2026-05-07T09:11:46.801Z,left_knee,20.25
1778145106907,2026-05-07T09:11:46.907Z,left_knee,19.82
1778145107012,2026-05-07T09:11:47.012Z,left_knee,19.71
1778145107086,2026-05-07T09:11:47.086Z,left_knee,19.4
1778145107221,2026-05-07T09:11:47.221Z,left_knee,19.17
1778145107327,2026-05-07T09:11:47.327Z,left_knee,19.06
1778145107401,2026-05-07T09:11:47.401Z,left_knee,19.18
1778145107521,2026-05-07T09:11:47.521Z,left_knee,20.05
1778145107612,2026-05-07T09:11:47.612Z,left_knee,20.63
1778145107716,2026-05-07T09:11:47.716Z,left_knee,20.88
1778145107821,2026-05-07T09:11:47.821Z,left_knee,21.18
1778145107896,2026-05-07T09:11:47.896Z,left_knee,21.78
1778145108016,2026-05-07T09:11:48.016Z,left_knee,22.11
1778145108091,2026-05-07T09:11:48.091Z,left_knee,21.97
